"QTR","CLAIM_TYPE","BRAND","PAYER","METRIC","VALUE"
"2024Q1","TRX","Nurtec","Commercial","PD_MARKET_SHARE",0.431032
"2024Q1","TRX","Nurtec","Commercial","RJ_RATE",0.177998
"2024Q1","TRX","Nurtec","Commercial","RV_RATE",0.074934
"2024Q1","TRX","Nurtec","Commercial","WD",354179
"2024Q1","TRX","Nurtec","Commercial","WD_MARKET_SHARE",0.444127
"2024Q1","TRX","Nurtec","Medicaid","FILL_RATE",0.73006
"2024Q1","TRX","Nurtec","Medicaid","PD_CLAIMS",63662
"2024Q1","TRX","Nurtec","Medicaid","PD_MARKET_SHARE",0.531425
"2024Q1","TRX","Nurtec","Medicaid","RJ_RATE",0.222222
"2024Q1","TRX","Nurtec","Medicaid","RV_RATE",0.047717
"2024Q1","TRX","Nurtec","Medicaid","WD",87201
"2024Q1","TRX","Nurtec","Medicaid","WD_MARKET_SHARE",0.524221
"2024Q1","TRX","Nurtec","Medicare","FILL_RATE",0.71859
"2024Q1","TRX","Nurtec","Medicare","PD_CLAIMS",54500
"2024Q1","TRX","Nurtec","Medicare","PD_MARKET_SHARE",0.460907
"2024Q1","TRX","Nurtec","Medicare","RJ_RATE",0.160595
"2024Q1","TRX","Nurtec","Medicare","RV_RATE",0.120815
"2024Q1","TRX","Nurtec","Medicare","WD",75843
"2024Q1","TRX","Nurtec","Medicare","WD_MARKET_SHARE",0.463786
"2024Q1","TRX","Nurtec","Others","FILL_RATE",0.466836
"2024Q1","TRX","Nurtec","Others","PD_CLAIMS",17997
"2024Q1","TRX","Nurtec","Others","PD_MARKET_SHARE",0.387808
"2024Q1","TRX","Nurtec","Others","RJ_RATE",0.238619
"2024Q1","TRX","Nurtec","Others","RV_RATE",0.294545
"2024Q1","TRX","Nurtec","Others","WD",38551
"2024Q1","TRX","Nurtec","Others","WD_MARKET_SHARE",0.444156
"2024Q1","TRX","Nurtec","Overall","FILL_RATE",0.721075
"2024Q1","TRX","Nurtec","Overall","PD_CLAIMS",400755
"2024Q1","TRX","Nurtec","Overall","PD_MARKET_SHARE",0.44612
"2024Q1","TRX","Nurtec","Overall","RJ_RATE",0.186767
"2024Q1","TRX","Nurtec","Overall","RV_RATE",0.092158
"2024Q1","TRX","Nurtec","Overall","WD",555774
"2024Q1","TRX","Nurtec","Overall","WD_MARKET_SHARE",0.45775
"2024Q2","NBRX","Abbvie","Commercial","FILL_RATE",0.72394
"2024Q2","NBRX","Abbvie","Commercial","PD_CLAIMS",66756
"2024Q2","NBRX","Abbvie","Commercial","PD_MARKET_SHARE",0.617842
"2024Q2","NBRX","Abbvie","Commercial","RJ_RATE",0.20301
"2024Q2","NBRX","Abbvie","Commercial","RV_RATE",0.073049
"2024Q2","NBRX","Abbvie","Commercial","WD",92212
"2024Q2","NBRX","Abbvie","Commercial","WD_MARKET_SHARE",0.557135
"2024Q2","NBRX","Abbvie","Medicaid","FILL_RATE",0.482175
"2024Q2","NBRX","Abbvie","Medicaid","PD_CLAIMS",9630
"2024Q2","NBRX","Abbvie","Medicaid","PD_MARKET_SHARE",0.496853
"2024Q2","NBRX","Abbvie","Medicaid","RJ_RATE",0.471961
"2024Q2","NBRX","Abbvie","Medicaid","RV_RATE",0.045864
"2024Q2","NBRX","Abbvie","Medicaid","WD",19972
"2024Q2","NBRX","Abbvie","Medicaid","WD_MARKET_SHARE",0.508763
"2024Q2","NBRX","Abbvie","Medicare","FILL_RATE",0.493076
"2024Q2","NBRX","Abbvie","Medicare","PD_CLAIMS",11323
"2024Q2","NBRX","Abbvie","Medicare","PD_MARKET_SHARE",0.58711
"2024Q2","NBRX","Abbvie","Medicare","RJ_RATE",0.333261
"2024Q2","NBRX","Abbvie","Medicare","RV_RATE",0.173663
"2024Q2","NBRX","Abbvie","Medicare","WD",22964
"2024Q2","NBRX","Abbvie","Medicare","WD_MARKET_SHARE",0.56276
"2023Q4","TRX","Nurtec","Commercial","FILL_RATE",0.778413
"2023Q4","TRX","Nurtec","Commercial","PD_CLAIMS",281528
"2023Q4","TRX","Nurtec","Commercial","PD_MARKET_SHARE",0.445523
"2023Q4","TRX","Nurtec","Commercial","RJ_RATE",0.165674
"2023Q4","TRX","Nurtec","Commercial","RV_RATE",0.055913
"2023Q4","TRX","Nurtec","Commercial","WD",361669
"2023Q4","TRX","Nurtec","Commercial","WD_MARKET_SHARE",0.450878
